RespondentID,Have you seen any of the 6 films in the Star Wars franchise?,Do you consider yourself to be a fan of the Star Wars film franchise?,Which of the following Star Wars films have you seen? Please select all that apply,Respondents who watched The Phantom Menace,Respondents who watched Attack of the Clones,Respondents who watched Revenge of the Sith,Respondents who watched A New Hope,Respondents who watched The Empire Strikes Back,Respondents who watched Return of the Jedi,Please rank the Star Wars films in order of preference with 1 being your favorite film in the franchise and 6 being your least favorite film.,Rank_Star Wars: Episode I  The Phantom Menace,Rank_Star Wars: Episode II  Attack of the Clones,Rank_Star Wars: Episode III  Revenge of the Sith,Rank_Star Wars: Episode IV  A New Hope,Rank_Star Wars: Episode V The Empire Strikes Back,Rank_Star Wars: Episode VI Return of the Jedi,"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her.",Han Solo,Luke Skywalker,Princess Leia Organa,Anakin Skywalker,Obi Wan Kenobi,Emperor Palpatine,Darth Vader,Lando Calrissian,Boba Fett,C-3P0,R2 D2,Jar Jar Binks,Padme Amidala,Yoda,Which character shot first?,Are you familiar with the Expanded Universe?,Do you consider yourself to be a fan of the Expanded Universe?,Do you consider yourself to be a fan of the Star Trek franchise?,Gender,Age,Household Income,Education,Location (Census Region),missing
3292879998,1,1,6,1,2,3,4,5,6,,3,2,1,4,5,6,,6,6,6,6,6,6,6,1,1,6,6,6,6,6,3,1,0,0,0,1,-1,2,7,1
3292879538,0,-1,0,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,4,9,30
3292765271,1,0,3,1,2,3,-1,-1,-1,,1,2,3,4,5,6,,5,5,5,5,5,1,1,1,1,1,1,1,1,1,3,0,-1,0,0,1,1,2,8,4
3292763116,1,1,6,1,2,3,4,5,6,,5,6,1,2,4,3,,6,6,6,6,6,5,6,5,3,6,6,6,6,6,3,0,-1,1,0,1,4,3,8,1
3292731220,1,1,6,1,2,3,4,5,6,,5,4,6,2,1,3,,6,5,5,3,6,2,5,4,6,5,5,2,5,5,1,1,0,0,0,1,4,3,8,0
3292719380,1,1,6,1,2,3,4,5,6,,1,4,3,6,5,2,,6,6,6,6,6,4,6,4,5,5,5,5,4,6,2,1,0,1,0,1,2,4,3,0
3292684787,1,1,6,1,2,3,4,5,6,,6,5,4,3,1,2,,6,6,5,5,6,6,6,6,6,5,6,3,5,6,2,1,0,0,0,1,-1,2,1,1
3292663732,1,1,6,1,2,3,4,5,6,,4,5,6,3,2,1,,6,5,6,4,6,2,3,4,5,5,5,2,3,6,2,0,-1,1,0,1,-1,2,7,2
3292654043,1,1,6,1,2,3,4,5,6,,5,4,6,2,1,3,,6,3,5,5,5,6,6,6,6,4,5,2,3,5,2,0,-1,0,0,1,1,3,7,1
3292640424,1,0,1,-1,2,-1,-1,-1,-1,,1,2,3,4,5,6,,4,6,6,6,6,3,6,3,3,6,6,6,3,6,3,0,-1,0,0,1,2,3,6,6
